emplid,courseno,instructorid,termid,sectionid,grade
E0003,3115,I23,T05,S11,C+
E0060,3115,I23,T05,S11,WD
E0134,3115,I23,T05,S11,A
E0158,3115,I23,T05,S11,B+
E0188,3115,I23,T05,S11,B+
E0232,3115,I23,T05,S11,A
E0235,3115,I23,T05,S11,A-
E0286,3115,I23,T05,S11,W
E0295,3115,I23,T05,S11,B+
E0297,3115,I23,T05,S11,A-
E0398,3115,I23,T05,S11,W
E0481,3115,I23,T05,S11,C
E0496,3115,I23,T05,S11,W
E0584,3115,I23,T05,S11,FIN
E0618,3115,I23,T05,S11,D
E0704,3115,I23,T05,S11,W
E0752,3115,I23,T05,S11,B+
E0818,3115,I23,T05,S11,C+
E0844,3115,I23,T05,S11,B+
E0856,3115,I23,T05,S11,C
E0898,3115,I23,T05,S11,A
E0919,3115,I23,T05,S11,W
E0981,3115,I23,T05,S11,D
E1198,3115,I23,T05,S11,B-
E1285,3115,I23,T05,S11,A+
E1383,3115,I23,T05,S11,A
E1499,3115,I23,T05,S11,B+
E1570,3115,I23,T05,S11,B+
E1607,3115,I23,T05,S11,B+
E1634,3115,I23,T05,S11,W
E1681,3115,I23,T05,S11,C
E0035,3115,I10,T05,S14,A
E0038,3115,I10,T05,S14,A
E0077,3115,I10,T05,S14,B
E0080,3115,I10,T05,S14,A
E0118,3115,I10,T05,S14,A
E0127,3115,I10,T05,S14,W
E0164,3115,I10,T05,S14,F
E0193,3115,I10,T05,S14,A
E0239,3115,I10,T05,S14,B-
E0249,3115,I10,T05,S14,C
E0387,3115,I10,T05,S14,F
E0404,3115,I10,T05,S14,A
E0440,3115,I10,T05,S14,A-
E0452,3115,I10,T05,S14,F
E0534,3115,I10,T05,S14,A
E0540,3115,I10,T05,S14,A
E0591,3115,I10,T05,S14,B
E0611,3115,I10,T05,S14,A
E0617,3115,I10,T05,S14,A
E0636,3115,I10,T05,S14,A
E0774,3115,I10,T05,S14,A
E0776,3115,I10,T05,S14,A
E1032,3115,I10,T05,S14,B
E1041,3115,I10,T05,S14,A-
E1046,3115,I10,T05,S14,A
E1077,3115,I10,T05,S14,B
E1079,3115,I10,T05,S14,A
E1113,3115,I10,T05,S14,A
E1127,3115,I10,T05,S14,A
E1175,3115,I10,T05,S14,B+
E1516,3115,I10,T05,S14,C
E1534,3115,I10,T05,S14,WD
E1640,3115,I10,T05,S14,A
E1745,3115,I10,T05,S14,F
E0070,3115,I24,T05,S21,B
E0191,3115,I24,T05,S21,B
E0299,3115,I24,T05,S21,W
E0362,3115,I24,T05,S21,B
E0376,3115,I24,T05,S21,W
E0390,3115,I24,T05,S21,B
E0418,3115,I24,T05,S21,W
E0460,3115,I24,T05,S21,F
E0476,3115,I24,T05,S21,C
E0495,3115,I24,T05,S21,B
E0586,3115,I24,T05,S21,C
E0605,3115,I24,T05,S21,A
E0656,3115,I24,T05,S21,A-
E0692,3115,I24,T05,S21,F
E0701,3115,I24,T05,S21,B
E0788,3115,I24,T05,S21,A
E0809,3115,I24,T05,S21,A
E0852,3115,I24,T05,S21,B
E0859,3115,I24,T05,S21,A
